DIGITAL REPORT
Report Taken on : 21/Feb/21 19:40:57
From: 21/Feb/21  00:00:00
To: 21/Feb/21  19:37:50 
SlNo     STATION NAME          SIGNAL NAME               SIGNAL STATUS               SIGNAL TIME            
289      STN-E           WRxl                      DOWN                        02/21/2021 09:23:24:312     
290      STN-E           22 Dxl                    UP                          02/21/2021 09:26:33:031     
291      STN-E           22DECxl                   UP                          02/21/2021 09:26:34:078     
292      STN-E           1T2xl                     DOWN                        02/21/2021 09:28:02:328     
293      STN-E           22 Dxl                    DOWN                        02/21/2021 09:28:02:531     
294      STN-E           22DECxl                   DOWN                        02/21/2021 09:28:02:625     
295      STN-E           1T1xl                     DOWN                        02/21/2021 09:28:15:296     
296      STN-E           1T2xl                     UP                          02/21/2021 09:28:18:218     
297      STN-E           WNxl                      UP                          02/21/2021 09:28:25:046     
298      STN-E           101Bxyz                   DOWN                        02/21/2021 09:28:25:171     
299      STN-E           101Axyz                   DOWN                        02/21/2021 09:28:25:187     
300      STN-E           101Boswe                   UP                          02/21/2021 09:28:27:875     
301      STN-E           101Aoswe                   UP                          02/21/2021 09:28:27:953     
302      STN-E           1Aplm                     DOWN                        02/21/2021 09:28:32:296     
303      STN-E           1T1xl                     UP                          02/21/2021 09:28:34:984     
304      STN-E           WNxl                      DOWN                        02/21/2021 09:28:38:500     
305      STN-E           1Aplm                     UP                          02/21/2021 09:28:40:718     
306      STN-E           22 Dxl                    UP                          02/21/2021 10:07:11:171     
307      STN-E           22DECxl                   UP                          02/21/2021 10:07:12:218     
308      STN-E           1T2xl                     DOWN                        02/21/2021 10:13:02:171     
309      STN-E           22 Dxl                    DOWN                        02/21/2021 10:13:02:359     
310      STN-E           22DECxl                   DOWN                        02/21/2021 10:13:02:453     
311      STN-E           1T1xl                     DOWN                        02/21/2021 10:13:14:015     
312      STN-E           1Aplm                     DOWN                        02/21/2021 10:13:33:625     
313      STN-E           1T2xl                     UP                          02/21/2021 10:14:10:546     
314      STN-E           1T1xl                     UP                          02/21/2021 10:14:26:812     
315      STN-E           1Aplm                     UP                          02/21/2021 10:14:32:437     
316      STN-E           1Hxl                      UP                          02/21/2021 11:48:54:890     
317      STN-E           1HECxl                    UP                          02/21/2021 11:48:55:656     
318      STN-E           1 Dxl                     UP                          02/21/2021 11:50:31:109     
319      STN-E           1HECxl                    DOWN                        02/21/2021 11:50:31:718     
320      STN-E           1DECxl                    UP                          02/21/2021 11:50:31:921     
321      STN-E           1Aplm                     DOWN                        02/21/2021 11:57:03:671     
322      STN-E           1T1xl                     DOWN                        02/21/2021 11:57:09:093     
323      STN-E           1 Dxl                     DOWN                        02/21/2021 11:57:09:296     
324      STN-E           1Hxl                      DOWN                        02/21/2021 11:57:09:296     
325      STN-E           1DECxl                    DOWN                        02/21/2021 11:57:09:406     
326      STN-E           1T2xl                     DOWN                        02/21/2021 11:57:24:875     
327      STN-E           1Aplm                     UP                          02/21/2021 11:57:55:984     
328      STN-E           1T1xl                     UP                          02/21/2021 11:58:13:156     
329      STN-E           1T2xl                     UP                          02/21/2021 11:58:22:812     
330      STN-W           109WRxl                   UP                          02/21/2021 12:59:00:546     
331      STN-W           109 Aoswe                  DOWN                        02/21/2021 12:59:00:671     
332      STN-W           109 Boswe                  DOWN                        02/21/2021 12:59:00:671     
333      STN-W           109Axyz                   UP                          02/21/2021 12:59:03:078     
334      STN-W           109 Bxyz                  UP                          02/21/2021 12:59:03:859     
335      STN-W           109WRxl                   DOWN                        02/21/2021 12:59:11:578     
336      STN-W           109 WNxl                  UP                          02/21/2021 13:19:34:046     
337      STN-W           109 Bxyz                  DOWN                        02/21/2021 13:19:34:171     
338      STN-W           109Axyz                   DOWN                        02/21/2021 13:19:34:187     
339      STN-W           109 Aoswe                  UP                          02/21/2021 13:19:36:578     
340      STN-W           109 Boswe                  UP                          02/21/2021 13:19:37:296     
341      STN-W           109 WNxl                  DOWN                        02/21/2021 13:19:45:062     
342      STN-E           1Hxl                      UP                          02/21/2021 13:24:02:046     
343      STN-E           1HECxl                    UP                          02/21/2021 13:24:02:828     
344      STN-E           1 Dxl                     UP                          02/21/2021 13:24:08:875     
345      STN-E           1HECxl                    DOWN                        02/21/2021 13:24:09:484     
346      STN-E           1DECxl                    UP                          02/21/2021 13:24:09:671     
347      STN-E           1Aplm                     DOWN                        02/21/2021 13:32:26:250     
348      STN-E           1T1xl                     DOWN                        02/21/2021 13:32:32:578     
349      STN-E           1 Dxl                     DOWN                        02/21/2021 13:32:32:781     
